epoch,acc,loss,val_acc,val_loss
0,0.05413243,1.6540342285300063,0.12657005,1.5847964617365224
1,0.24601257,1.5435927999140617,0.30338165,1.5004740530741962
2,0.41034317,1.4559026389032126,0.5594203,1.4323397763109438
3,0.5940068,1.383489105538967,0.57294685,1.3704054025060313
4,0.61430645,1.3167700819948436,0.76328504,1.3150029009666995
5,0.84726924,1.2517617140028314,0.8289855,1.260263758926576
6,0.8767521,1.1914271464838735,0.8347826,1.2084864050869781
7,0.88013536,1.1341673669289598,0.836715,1.1590755621592204
8,0.88835186,1.0769659814885297,0.83864737,1.113100476541381
9,0.8873852,1.025534679141812,0.836715,1.0712688048680623
10,0.9009183,0.9780563097636212,0.8396135,1.0341558907918884
11,0.8965684,0.9312358714348455,0.8357488,0.9951512464578601
12,0.8936684,0.8882602681970757,0.8347826,0.9590817955956943
13,0.9009183,0.8484118279770068,0.8357488,0.9319921240138547
14,0.9081682,0.7990168271979714,0.8357488,0.9110789849562345
15,0.9067182,0.7754472100602192,0.8328502,0.8953644306763359
16,0.90913486,0.7573709986877073,0.8338164,0.883587562519571
17,0.90526825,0.7400021644074194,0.8357488,0.8753928974630752
18,0.9096182,0.7145647828333501,0.8338164,0.8697314652267861
19,0.91831803,0.702932105426226,0.8328502,0.8669193790730647
20,0.91348475,0.6933721680754104,0.8328502,0.8649412133267537
21,0.91251814,0.6812824960086817,0.8309179,0.8651729079260342
22,0.9081682,0.6759985736915604,0.8338164,0.864792733952619
23,0.9154181,0.6599088083896849,0.8357488,0.8674624342273399
24,0.91880137,0.6518646869295285,0.8376812,0.86808295722169
25,0.9062349,0.6653953367180729,0.83864737,0.8714498842396022
26,0.9144514,0.6560438528851417,0.83864737,0.8728306448402037
27,0.9178347,0.6466248060782328,0.8357488,0.8747278547517343
28,0.919768,0.6452879624530392,0.8347826,0.877158394527896
29,0.9192847,0.6416168143462305,0.8338164,0.8798964632882013
30,0.9217013,0.6325092070225992,0.8338164,0.8822836855183477
31,0.9139681,0.6515980920047216,0.8318841,0.88545602283616
32,0.91493475,0.6496299868220001,0.8328502,0.8856711475169601
33,0.9144514,0.6396563309238059,0.8328502,0.8880383526069531
34,0.921218,0.6320475108845905,0.8328502,0.888543693224589
35,0.9275012,0.6238266467587161,0.8309179,0.8918430791960822
36,0.92218465,0.6338548513643404,0.8299517,0.8939175079410203
37,0.9178347,0.635380538636904,0.8289855,0.8946490974241985
38,0.9105848,0.634601114451914,0.8299517,0.8981961223814222
39,0.9154181,0.6422243450735432,0.8299517,0.8985326289554725
40,0.91831803,0.6385525632676669,0.8289855,0.898411798822707
41,0.9159014,0.6378273768607057,0.8270531,0.9020423003440894
42,0.9250846,0.6180723982481866,0.8280193,0.9009002299700383
43,0.9192847,0.6203474524287339,0.8289855,0.9026426572154685
44,0.922668,0.6288252991141186,0.82608694,0.9062139970668848
45,0.91493475,0.6368083859365766,0.8280193,0.9045360441369135
46,0.921218,0.623969525919841,0.8270531,0.9068056144576142
47,0.91831803,0.6314760368765697,0.8270531,0.9072089017877256
48,0.9159014,0.6277363297154559,0.8280193,0.9080150429177399
49,0.921218,0.6142123101009961,0.8270531,0.9123336058307961
