epoch,acc,loss,val_acc,val_loss
0,0.35897437,3.8634186927166088,0.3500967,1.1760797076345182
1,0.3710692,1.0899806567073502,0.34526113,1.0922156763722404
2,0.44170296,1.0541821492716028,0.41489363,1.2704602581389406
3,0.48911467,1.03302570253279,0.40038684,1.069636677173858
4,0.549105,0.9586553290435872,0.41682786,1.6249722159346944
5,0.5829705,0.9266479215185943,0.45067698,1.143603786278509
6,0.6458636,0.8015303692208665,0.50676984,1.067599325853344
7,0.66715044,0.7603336837941111,0.5280464,1.0535382242221205
8,0.7532656,0.5955721790743266,0.5270793,1.3567566030030094
9,0.78471214,0.5112085223313282,0.51740813,1.3581221705479134
10,0.81857765,0.44691535556552836,0.4787234,1.9043655652603282
11,0.8771166,0.3518838102135845,0.5290135,1.6455735629946857
12,0.8993711,0.2795583372228262,0.54061896,1.9695801797180619
13,0.9259797,0.22263889831509287,0.53288203,1.7063007875844634
14,0.93565553,0.1831381977015379,0.52998066,2.2925123741825035
15,0.9477504,0.166612689052161,0.5058027,2.5196037666018283
16,0.9501693,0.16743021324659005,0.5473888,2.5342533560739957
17,0.96081275,0.21281151502358492,0.51160544,2.244947205198572
18,0.98209965,0.06344719883550119,0.5077369,3.477878308619014
19,0.95065314,0.3256542907931347,0.51450676,2.588285943295093
20,0.99080795,0.03212689395690266,0.54545456,3.2335070514586723
21,0.974359,0.14286070016411462,0.5077369,2.9448364523439388
22,0.9380745,0.641778567857251,0.5125725,3.104503713677884
23,0.99032414,0.0384683767991455,0.5483559,3.270925158227666
24,0.9714562,0.139412081669962,0.5212766,3.1000185473975175
25,0.9787131,0.15787178083684747,0.47582206,3.7786201047251717
26,0.99274313,0.02790408843995784,0.549323,3.2485934018627587
27,0.98838896,0.049608834761221465,0.5444874,3.5260908848081844
28,0.9656507,0.21562947130283988,0.5183752,3.4105855731484507
29,0.99903244,0.004971980343896753,0.52998066,3.7717136857126854
30,0.9680697,0.28155204414015605,0.52030945,3.5007525989119275
31,0.99903244,0.006895281199859676,0.49806577,4.527077172664886
32,0.9733914,0.19851027429137644,0.52417797,3.55472874318608
33,1.0,0.0010452760247978638,0.53288203,3.9480608454986514
34,0.97387516,0.15606674239078622,0.52030945,3.6837211831164773
35,0.9787131,0.11955398959155007,0.50967115,3.3186205567889333
36,0.9879052,0.03776047840491649,0.5319149,3.8889920347202676
37,1.0,0.0025455324700391475,0.5444874,4.089211148496292
38,0.97774553,0.16310710318779223,0.5212766,3.594580757779356
39,0.98887277,0.054457058229839164,0.51934236,3.3084751503610517
40,0.99903244,0.012047767734906584,0.5377176,3.7567917604280394
41,1.0,0.00026726150048380097,0.5377176,3.78903811051721
42,1.0,0.00015357109974474957,0.5425532,3.9109340866944775
43,1.0,7.963961676389046e-05,0.549323,4.090400210662783
44,1.0,2.9183745514562256e-05,0.5531915,4.248267957735338
45,1.0,1.4154836195330498e-05,0.5541586,4.422979727473895
46,1.0,4.472760214901407e-06,0.5589942,4.4900346212737565
47,1.0,3.385067548279312e-06,0.5541586,4.607678652270851
48,1.0,1.8459064264695987e-06,0.55125725,4.648691534765454
49,1.0,8.136698663539762e-07,0.5531915,4.759496805976853
50,1.0,8.681429495326024e-07,0.5522244,4.79082692107564
51,1.0,4.11133443930802e-07,0.5531915,4.82129379582359
52,1.0,3.941437258771625e-07,0.5551257,4.874233125948583
53,1.0,3.463935200623045e-07,0.5502901,4.875929636005276
54,1.0,2.7807343704385675e-07,0.55705994,4.914231924761656
55,1.0,2.2619342043280594e-07,0.5551257,4.91839903235666
56,1.0,1.8512959590801554e-07,0.5551257,4.963096390840394
57,1.0,1.9081104958740914e-07,0.5522244,4.974809411415971
58,1.0,1.6171412944925416e-07,0.55705994,4.969680520044766
59,1.0,1.5836926589030308e-07,0.5551257,4.999448396251095
60,1.0,1.4761315156393585e-07,0.5551257,5.013971392836285
61,1.0,1.5306340832545938e-07,0.55705994,5.04462324212552
62,1.0,1.4054825965533108e-07,0.5541586,5.047171895231915
63,1.0,1.3705901905818335e-07,0.5541586,5.062910914651661
64,1.0,1.3876040248065555e-07,0.55705994,5.063356412448551
65,1.0,1.3356982161610824e-07,0.55125725,5.083501668225405
66,1.0,1.3270474475233945e-07,0.5551257,5.088347625916885
67,1.0,1.2849460973647405e-07,0.5531915,5.093726829587837
68,1.0,1.3221454822842525e-07,0.5541586,5.104525089263916
69,1.0,1.2915786105777932e-07,0.5541586,5.111761088528071
70,1.0,1.2800439611415846e-07,0.5551257,5.123928665884228
71,1.0,1.2641840101628703e-07,0.5541586,5.121926274474862
72,1.0,1.2650490549336205e-07,0.5551257,5.137537470177479
73,1.0,1.2563981283058787e-07,0.5531915,5.140594872561368
74,1.0,1.254091289610111e-07,0.5551257,5.149313838154481
75,1.0,1.2437101226009313e-07,0.5541586,5.161105443707287
76,1.0,1.248323997376907e-07,0.55609286,5.155932280726774
77,1.0,1.233040663894082e-07,0.5502901,5.158794436279533
78,1.0,1.2523611110359219e-07,0.55609286,5.167016827160892
79,1.0,1.22640830351475e-07,0.5531915,5.16467480963849
80,1.0,1.2229479423788072e-07,0.55125725,5.174183112279128
81,1.0,1.2191992271879372e-07,0.5502901,5.174007908288008
82,1.0,1.2180457703363224e-07,0.55125725,5.173767185764571
83,1.0,1.218334133397645e-07,0.55125725,5.1736784285687385
84,1.0,1.2163155919683865e-07,0.55125725,5.1741613668445465
85,1.0,1.2148737590614888e-07,0.55125725,5.174666157543544
86,1.0,1.2145853960001662e-07,0.55125725,5.17492831468121
87,1.0,1.21429703335135e-07,0.55125725,5.175195955907353
88,1.0,1.2151621265228826e-07,0.55125725,5.17541825517695
89,1.0,1.2140086658212051e-07,0.55125725,5.175610931975698
90,1.0,1.21285521763223e-07,0.55125725,5.175961665074184
91,1.0,1.213720306816198e-07,0.55125725,5.17625337135861
92,1.0,1.2128552132321592e-07,0.55125725,5.176544541777679
93,1.0,1.2125668501708363e-07,0.55125725,5.176626052339949
94,1.0,1.211990115248049e-07,0.55125725,5.177048267202174
95,1.0,1.2125668589709787e-07,0.55125725,5.177745562688064
96,1.0,1.2128552132321592e-07,0.55125725,5.1784708495296865
97,1.0,1.2117017653869397e-07,0.55125725,5.178628549815608
98,1.0,1.2117017609868685e-07,0.55125725,5.1789543024575915
